"","Yr","id2","EEZgrid","D"
"1",1990,63,"1 g562",0.013
"2",1990,78,"1 g533",0.002
"3",1990,79,"1 g534",0
"4",1990,96,"1 g506",0.001
"5",1990,97,"1 g507",0.147
"6",1990,98,"1 g508",0
"7",1990,116,"1 g479",0.041
"8",1990,117,"1 g480",0.189
"9",1993,43,"1 g584",0
"10",1993,45,"1 g586",0
"11",1993,59,"1 g558",0.7
"12",1993,78,"1 g533",0.024
"13",1993,79,"1 g534",0
"14",1993,80,"1 g535",0
"15",1993,81,"1 g536",0.025
"16",1993,95,"1 g505",0.1
"17",1993,96,"1 g506",0.061
"18",1993,97,"1 g507",0
"19",1993,115,"1 g478",0
"20",1993,116,"1 g479",0
"21",1993,133,"1 g451",0.024
"22",1993,166,"1 g396",0.404
"23",1996,58,"1 g557",0.006
"24",1996,61,"1 g560",0.003
"25",1996,76,"1 g531",0.121
"26",1996,79,"1 g534",0.065
"27",1996,80,"1 g535",0.001
"28",1996,97,"1 g507",0.254
"29",1996,117,"1 g480",0.048
"30",1996,133,"1 g451",0.542
"31",1996,148,"1 g421",0
"32",1999,117,"1 g480",0.084
"33",1999,133,"1 g451",0
"34",1999,148,"1 g421",0.08
"35",2001,59,"1 g558",0.161
"36",2001,61,"1 g560",0
"37",2001,62,"1 g561",0.023
"38",2001,63,"1 g562",0.49
"39",2001,77,"1 g532",0.017
"40",2001,78,"1 g533",0.158
"41",2001,79,"1 g534",0.633
"42",2001,80,"1 g535",0.003
"43",2001,96,"1 g506",0.035
"44",2001,97,"1 g507",0.073
"45",2001,98,"1 g508",0.029
"46",2001,115,"1 g478",0.075
"47",2001,116,"1 g479",0.011
"48",2001,117,"1 g480",0
"49",2001,132,"1 g450",0.1
"50",2001,133,"1 g451",0.07
"51",2001,148,"1 g421",0.804
"52",2003,44,"1 g585",0.011
"53",2003,58,"1 g557",0
"54",2003,59,"1 g558",0.001
"55",2003,78,"1 g533",0.001
"56",2003,95,"1 g505",0.176
"57",2003,148,"1 g421",0.029
"58",2005,59,"1 g558",0
"59",2005,79,"1 g534",0
"60",2007,43,"1 g584",0.036
"61",2007,45,"1 g586",0.113
"62",2007,59,"1 g558",0.008
"63",2007,60,"1 g559",0.003
"64",2007,62,"1 g561",0.034
"65",2007,78,"1 g533",0.22
"66",2007,79,"1 g534",0.059
"67",2007,80,"1 g535",0.011
"68",2007,117,"1 g480",0.498
"69",2007,132,"1 g450",0
"70",2007,133,"1 g451",0.075
"71",2007,149,"1 g422",0
"72",2007,168,"1 g398",0.076
"73",2009,43,"1 g584",0
"74",2009,45,"1 g586",0
"75",2009,58,"1 g557",0.346
"76",2009,59,"1 g558",0.236
"77",2009,60,"1 g559",0.194
"78",2009,62,"1 g561",0
"79",2009,63,"1 g562",0.07
"80",2009,79,"1 g534",0.097
"81",2009,80,"1 g535",0.028
"82",2009,81,"1 g536",0
"83",2009,96,"1 g506",0.006
"84",2009,97,"1 g507",0.112
"85",2009,98,"1 g508",0.101
"86",2009,110,"1 g520",0.014
"87",2009,133,"1 g451",0.451
"88",2009,148,"1 g421",0.004
"89",2009,157,"1 g430",0
"90",2009,166,"1 g396",0.084
"91",2009,167,"1 g397",0
"92",2011,58,"1 g557",0
"93",2011,59,"1 g558",0.011
"94",2011,60,"1 g559",0.049
"95",2011,80,"1 g535",0.19
"96",2011,97,"1 g507",0.005
"97",2011,98,"1 g508",0.045
"98",2011,116,"1 g479",0
"99",2011,117,"1 g480",0.043
"100",2011,151,"1 g424",0
"101",2011,156,"1 g429",0.012
"102",2011,168,"1 g398",0
"103",2013,44,"1 g585",0.813
"104",2013,45,"1 g586",0.813
"105",2013,46,"1 g587",0
"106",2013,59,"1 g558",0.059
"107",2013,60,"1 g559",0.386
"108",2013,61,"1 g560",0
"109",2013,62,"1 g561",0.087
"110",2013,63,"1 g562",0.054
"111",2013,77,"1 g532",0.016
"112",2013,78,"1 g533",0
"113",2013,79,"1 g534",0.031
"114",2013,80,"1 g535",0.001
"115",2013,95,"1 g505",0.148
"116",2013,96,"1 g506",0.445
"117",2013,97,"1 g507",0.269
"118",2013,98,"1 g508",0.611
"119",2013,114,"1 g477",0.776
"120",2013,115,"1 g478",0.731
"121",2013,116,"1 g479",0.139
"122",2013,117,"1 g480",0.548
"123",2013,132,"1 g450",0.354
"124",2013,133,"1 g451",0.212
"125",2013,134,"1 g452",0.047
"126",2013,142,"1 g460",0.037
"127",2013,148,"1 g421",0
"128",2013,149,"1 g422",0.338
"129",2013,151,"1 g424",0
"130",2013,156,"1 g429",0.081
"131",2013,165,"1 g395",0.039
"132",2013,166,"1 g396",0.017
"133",2013,167,"1 g397",0
"134",2013,169,"1 g399",0.634
