"","YEAR","id2","EEZgrid","START_LONGITUDE","START_LATITUDE","S"
"1","1993",75,"1 g530",-163.030170280195,54.9698523950004,0.605
"2","1996",75,"1 g530",-163.030170280195,54.9698523950004,0.365
"3","1999",75,"1 g530",-163.030170280195,54.9698523950004,0.607
"4","2001",75,"1 g530",-163.030170280195,54.9698523950004,0.29
"5","2003",75,"1 g530",-163.030170280195,54.9698523950004,0.672
"6","2007",75,"1 g530",-163.030170280195,54.9698523950004,0.439
"7","2009",75,"1 g530",-163.030170280195,54.9698523950004,0.435
"8","2011",75,"1 g530",-163.030170280195,54.9698523950004,0.635
"9","2013",75,"1 g530",-163.030170280195,54.9698523950004,0.352
"10","2015",75,"1 g530",-163.030170280195,54.9698523950004,0.41
"11","2017",75,"1 g530",-163.030170280195,54.9698523950004,0.586
"12","1993",60,"1 g559",-163.372877887982,54.3271720425445,0.57
"13","1996",60,"1 g559",-163.372877887982,54.3271720425445,0.561
"14","1999",60,"1 g559",-163.372877887982,54.3271720425445,0.567
"15","2001",60,"1 g559",-163.372877887982,54.3271720425445,0.531
"16","2003",60,"1 g559",-163.372877887982,54.3271720425445,0.626
"17","2005",60,"1 g559",-163.372877887982,54.3271720425445,0.624
"18","2007",60,"1 g559",-163.372877887982,54.3271720425445,0.599
"19","2009",60,"1 g559",-163.372877887982,54.3271720425445,0.621
"20","2011",60,"1 g559",-163.372877887982,54.3271720425445,0.608
"21","2013",60,"1 g559",-163.372877887982,54.3271720425445,0.542
"22","2015",60,"1 g559",-163.372877887982,54.3271720425445,0.626
"23","2017",60,"1 g559",-163.372877887982,54.3271720425445,0.583
"24","1993",47,"1 g588",-163.188997020615,53.4878568051051,0.487
"25","1996",47,"1 g588",-163.188997020615,53.4878568051051,0.467
"26","1999",47,"1 g588",-163.188997020615,53.4878568051051,0.49
"27","2003",47,"1 g588",-163.188997020615,53.4878568051051,0.353
"28","2007",47,"1 g588",-163.188997020615,53.4878568051051,0.523
"29","2015",47,"1 g588",-163.188997020615,53.4878568051051,0.56
"30","1993",59,"1 g558",-164.79779704428,54.067840106188,0.498
"31","1996",59,"1 g558",-164.79779704428,54.067840106188,0.539
"32","1999",59,"1 g558",-164.79779704428,54.067840106188,0.55
"33","2001",59,"1 g558",-164.79779704428,54.067840106188,0.431
"34","2003",59,"1 g558",-164.79779704428,54.067840106188,0.567
"35","2005",59,"1 g558",-164.79779704428,54.067840106188,0.629
"36","2007",59,"1 g558",-164.79779704428,54.067840106188,0.581
"37","2009",59,"1 g558",-164.79779704428,54.067840106188,0.634
"38","2011",59,"1 g558",-164.79779704428,54.067840106188,0.617
"39","2013",59,"1 g558",-164.79779704428,54.067840106188,0.552
"40","2015",59,"1 g558",-164.79779704428,54.067840106188,0.632
"41","2017",59,"1 g558",-164.79779704428,54.067840106188,0.552
"42","1993",46,"1 g587",-164.666404628218,53.3510109274982,0.162
"43","1996",46,"1 g587",-164.666404628218,53.3510109274982,0.103
"44","1999",46,"1 g587",-164.666404628218,53.3510109274982,0.052
