"","UniqueID","YEAR","id","EEZ_grid","GEAR_DEPTH","GEAR_TEMPERATURE","START_LONGITUDE","START_LATITUDE","PHpa.fit","PHpa.se","PHpa.low","PHpa.hi","PHcpueFit","PHcpueSE","PHcpueLow","PHcpueHi","PHpredBio","PHstdBio","ATFpa.fit","ATFpa.se","ATFpa.low","ATFpa.hi","ATFcpueFit","ATFcpueSE","ATFcpueLow","ATFcpueHi","ATFpredBio","ATFstdBio","SpatOver"
"3","109_1996","1996",109,"1 g519",217.75,5.525,-135.171745778386,55.3086992505853,0.13957498394531,0.0323738064238402,0.203027644536037,0.0761223233545834,4.95729761840028,0.158817680576014,5.26858027232927,4.64601496447129,0.691914735500344,0.101364908463423,0.613688562015255,0.0712607123031391,0.753359558129407,0.474017565901102,5.78205632729126,0.142722192260375,6.0617918241216,5.50232083046093,3.54838183298658,0.346009338650734,0.035
"5","109_2003","2003",109,"1 g519",308.818181818182,5.02727272727273,-135.171745778386,55.3086992505853,0.0632298620480796,0.0193397559269904,0.101135783664981,0.0253239404311785,5.17471389495105,0.220706229793237,5.60729810534579,4.7421296845563,0.327196445716036,0.0479339954302027,0.534885053946228,0.0797984486491546,0.691290013298571,0.378480094593885,6.2310445665942,0.154615790022779,6.53409151503885,5.92799761814956,3.33289260914409,0.324996582037294,0.016
"6","109_2005","2005",109,"1 g519",398.785714285714,5,-135.171745778386,55.3086992505853,0.0176223078269244,0.00953148128153972,0.0363040111387422,-0.00105939548489347,4.79191823523117,0.432147720315063,5.63892776704869,3.94490870341364,0.0844446582226958,0.0123710691676177,0.627821673505462,0.09020953612956,0.8046323643194,0.451010982691525,5.39621486053144,0.169680433662672,5.72878851051028,5.06364121055261,3.3878606443339,0.330356617793916,0.004
"8","109_2009","2009",109,"1 g519",327.111111111111,5.14444444444444,-135.171745778386,55.3086992505853,0.0696668808172411,0.0224805807792672,0.113728819144605,0.0256049424898773,5.29792866874332,0.247656141906029,5.78333470687914,4.81252263060751,0.369090165143586,0.0540713889804285,0.699663811634513,0.0737769107522361,0.844266556708895,0.55506106656013,6.01012118128716,0.157548972482132,6.31891716735214,5.70132519522218,4.2050642940847,0.410043671696807,0.022
"9","109_2011","2011",109,"1 g519",381.625,5.25,-135.171745778386,55.3086992505853,0.0458450343768367,0.021474833362688,0.0879357077677053,0.00375436098596817,4.86530549834406,0.351603492521728,5.55444834368665,4.17616265300148,0.223050097825396,0.0326766458189091,0.694094633596699,0.083359242516921,0.857478748929864,0.530710518263534,5.37017452937304,0.169451015628331,5.70229852000457,5.03805053874151,3.7274093223155,0.36346664344447,0.012
"10","109_2013","2013",109,"1 g519",293.5,5.2,-135.171745778386,55.3086992505853,0.140535314047005,0.0386326103632046,0.216255230358886,0.0648153977351243,4.98816380454333,0.206824307202976,5.39353944666116,4.58278816242549,0.701013166789401,0.102697820753706,0.575330288213435,0.0821489097434397,0.736342151310577,0.414318425116293,5.44438880755457,0.158551962061389,5.7551506531949,5.13362696191425,3.13232178179637,0.305438546124117,0.031
"11","109_2015","2015",109,"1 g519",384.545454545455,5.27272727272727,-135.171745778386,55.3086992505853,0.0680518525799734,0.0315512454216976,0.129892293606501,0.00621141155344618,5.08547189586386,0.364294126473463,5.79948838375185,4.37145540797588,0.346075783756926,0.0506998020739665,0.515374248763325,0.0944437331997621,0.700483965834858,0.330264531691791,5.26683280698225,0.168235496310659,5.59657437975114,4.93709123421336,2.71439000126051,0.264685237773808,0.013
"14","110_1993","1993",110,"1 g520",191.9375,5.6875,-133.763251584675,55.0444294625659,0.157280081798472,0.025259044631552,0.206787809276314,0.10777235432063,4.22826699660772,0.132201856580233,4.48738263550498,3.96915135771047,0.665022179092241,0.0974251722809246,0.810392324881429,0.0342067625673522,0.87743757951344,0.743347070249419,7.20662751682844,0.104836632237914,7.41210731601475,7.00114771764213,5.84019562791708,0.569488381442218,0.055
"15","110_1996","1996",110,"1 g520",159.333333333333,6.31111111111111,-133.763251584675,55.0444294625659,0.186227971625394,0.0276386976832578,0.240399819084579,0.132056124166209,4.29913556888214,0.121307743509658,4.53689874616107,4.06137239160321,0.800619296735507,0.117290032375101,0.873156006143504,0.0241614896073799,0.920512525773969,0.82579948651304,7.471078669585,0.100929532159535,7.66890055261769,7.27325678655231,6.52341721271876,0.636110593998798,0.075
"16","110_1999","1999",110,"1 g520",215.222222222222,5.87777777777778,-133.763251584675,55.0444294625659,0.0961384523103868,0.0169599477782814,0.129379949955818,0.0628969546649552,4.09966902189172,0.137586229255391,4.36933803123229,3.83000001255115,0.394135834749507,0.0577405578487191,0.942058089764583,0.0132939508394713,0.968114233409946,0.916001946119219,6.65728113022036,0.102473577062527,6.85812934126291,6.45643291917781,6.27154554456119,0.611550117300971,0.035
